class,subset,output_file,original_file,n_out,n_org,emd
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0523.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0523.off,1058,1058,0.05189866237137744
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0524.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0524.off,3430,3430,0.06451385863417908
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0525.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0525.off,2010,2010,0.05452471711157345
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0526.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0526.off,292,292,0.05341675186062485
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0527.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0527.off,3196,3196,0.05294375995637923
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0528.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0528.off,3596,3596,0.05430264392653511
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0529.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0529.off,774,774,0.05484502006275653
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0530.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0530.off,4114,4114,0.0743139830070399
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0531.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0531.off,24300,24300,0.09802278163574694
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0532.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0532.off,9899,9899,0.07972418997444729
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0533.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0533.off,462,462,0.06482592300195565
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0534.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0534.off,54904,54904,0.05493821511565197
